Title1,Title_URL1,inlineblock1,textxs1,prxs1,plxs1,mrmd2,mrm1,capitalize1,capitaliz1,button_URL1,button1,Title,Title_URL,inlineblock,textxs,prxs,plxs,mrmd,mrmd1,capitalize,capitalize2,button_URL,button
Ice Cream Cake,https://www.leafly.com/strains/ice-cream-cake,Indica,,4.6,(1039),THC 23%,CBG 1%,Sleepy,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Ice%20Cream%20Cake,shop menus,,,,,,,,,,,,
Gelato,https://www.leafly.com/strains/gelato,Hybrid,"aka Gelato 42, Larry Bird",4.6,(2219),THC 16%,CBD 0%,Euphoric,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Gelato,shop menus,,,,,,,,,,,,
Blue Dream,https://www.leafly.com/strains/blue-dream,Hybrid,,4.3,(14.3k),THC 18%,CBD 0%,Creative,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Blue%20Dream,shop menus,,,,,,,,,,,,
Sour Diesel,https://www.leafly.com/strains/sour-diesel,Sativa,"aka Sour D, Sour Deez",4.3,(8264),THC 19%,CBD 0%,Energetic,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Sour%20Diesel,shop menus,,,,,,,,,,,,
Dosidos,https://www.leafly.com/strains/do-si-dos,Hybrid,"aka Dosi, Do-Si-Dos",4.6,(1073),THC 20%,CBG 1%,Sleepy,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Dosidos,shop menus,,,,,,,,,,,,
Apple Fritter,https://www.leafly.com/strains/apple-fritter,Hybrid,,4.5,(346),THC 25%,CBD 0%,Relaxed,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Apple%20Fritter,shop menus,,,,,,,,,,,,
GSC,https://www.leafly.com/strains/gsc,Hybrid,aka Girl Scout Cookies,4.4,(7409),THC 19%,CBG 1%,Hungry,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=GSC,shop menus,,,,,,,,,,,,
Zkittlez,https://www.leafly.com/strains/zkittlez,Indica,"aka Skittles, Skittlz, Island Zkittlez",4.5,(857),THC 20%,CBG 1%,Relaxed,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Zkittlez,shop menus,,,,,,,,,,,,
OG Kush,https://www.leafly.com/strains/og-kush,Hybrid,aka Premium OG Kush,4.3,(5476),THC 18%,CBD 0%,Hungry,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=OG%20Kush,shop menus,,,,,,,,,,,,
Mac 1,https://www.leafly.com/strains/mac-1,Hybrid,aka The MAC,4.7,(353),THC 22%,CBG 1%,Uplifted,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Mac%201,shop menus,,,,,,,,,,,,
Biscotti,https://www.leafly.com/strains/biscotti,Hybrid,,4.6,(393),THC 22%,CBG 2%,Tingly,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Biscotti,shop menus,,,,,,,,,,,,
Purple Punch,https://www.leafly.com/strains/purple-punch,Indica,,4.6,(1506),THC 18%,CBD 0%,Sleepy,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Purple%20Punch,shop menus,,,,,,,,,,,,
White Widow,https://www.leafly.com/strains/white-widow,Hybrid,,4.3,(4402),THC 15%,CBG 1%,Energetic,Myrcene,,,,,,,,,,,,,,
Jack Herer,https://www.leafly.com/strains/jack-herer,Sativa,"aka JH, The Jack, Premium Jack, Platinum Jack",4.4,(4842),THC 18%,CBG 1%,Energetic,Terpinolene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Jack%20Herer,shop menus,,,,,,,,,,,,
Mimosa,https://www.leafly.com/strains/mimosa,Hybrid,aka Purple Mimosa,4.5,(948),THC 20%,CBG 1%,Energetic,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Mimosa,shop menus,,,,,,,,,,,,
Sherbert,https://www.leafly.com/strains/sunset-sherbert,Hybrid,"aka Sherbet, Sunset Sherbet, Sunset Sherbert",4.6,(1563),THC 18%,CBG 1%,Relaxed,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Sherbert,shop menus,,,,,,,,,,,,
Pineapple Express,https://www.leafly.com/strains/pineapple-express,Hybrid,,4.4,(4120),THC 20%,CBG 1%,Energetic,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Pineapple%20Express,shop menus,,,,,,,,,,,,
